trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-137.79164854413517,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-138.97618615749366,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-79.88240965287217,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-132.728850783774,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-72.42072098764527,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-115.64552851924205,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-26.783922187672342,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-171.29887753002126,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-102.05615501347819,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-26.10755836972997,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-88.88479037168793,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-81.8337475732538,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-21.197336379663433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-24.93336259807218,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,23.349469168976547,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,29.01963746100951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,-26.198646601562295,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,17.37045037971131,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,23.052094633602273,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,23.736641712585584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,26.559631919839777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,3,25.203744954729867,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,16,15.325913487495935,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,26.53441671482573,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,9,-3.332316833585287,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,13.7697935059982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-35.22010144856108,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,13,-23.707892698893794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,5,8.88572394451289,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.847284275341952,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
