trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",20,0,-75.80570244673636,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.9801}",20,0,-66.65134699814232,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.970299}",30,0,-106.81033521395709,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.96059601}",25,0,-31.081493118442282,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",20,0,-170.9899675693736,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.941480149401}",25,0,-163.01929963777215,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",20,0,10.857361410351235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9227446944279201}",25,5,-99.794367012408,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.9, 'e': 0.9135172474836408}",25,0,-78.66000038977526,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9043820750088044}",30,0,-133.54757029450062,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587164}",25,0,-54.55121301033971,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161292}",30,0,-191.18728850644936,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",25,0,-189.42596384908265,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.8687458127689782}",20,0,-148.71673140625168,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.8600583546412884}",35,0,-124.9248851616724,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948755}",30,0,-59.845464871334634,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839268}",20,0,-50.962958832162585,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
