trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.61287551389583,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.91961012600743,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.287033250502617,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.43708441067514,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.93772784076869,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.43829107496367,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.90471798878133,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.48198131628564,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.9757991928748,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.17233583126445,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.32015547831548,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,1,-155.08405354592068,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,3,-98.26996372192671,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.00773179543518,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.08206431408304,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.13930223090406,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.77281013360022,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.01909967071909,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.54924761693117,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.53445172685905,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.20953906548024,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.29326389332863,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-172.83130445839473,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.32894516867255,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.63412555014285,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,3,-33.63560689688784,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,6,-136.8543500815325,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-210.65890830181786,"{0: 19, 1: 5, 2: 8, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.30511797200398,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.64374611894468,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
